# refreshed_at	sub	tier	weekly_stacked	days_in_window	avg_daily_stacked
2026-09-07T04:59:19.919Z	bitcoin	1	174034	7	24862
2026-09-07T04:59:19.919Z	bitcoin_beginners	1	69381	7	9912
2026-09-07T04:59:19.919Z	bitcoin_Mining	1	72110	7	10301
2026-09-07T04:59:19.919Z	bitcoinplusplus	1	393	7	56
2026-09-07T04:59:19.919Z	bitdevs	1	4005	7	572
2026-09-07T04:59:19.919Z	lightning	1	28287	7	4041
2026-09-07T04:59:19.919Z	mempool	1	547	7	78
2026-09-07T04:59:19.919Z	nostr	1	604	7	86
2026-09-07T04:59:19.919Z	security	1	4657	7	665
2026-09-07T04:59:19.919Z	privacy	1	13642	7	1949
2026-09-07T04:59:19.919Z	devs	1	3402	7	486
2026-09-07T04:59:19.919Z	tech	1	10008	7	1430
2026-09-07T04:59:19.919Z	AI	1	84243	7	12035
2026-09-07T04:59:19.919Z	openagents	1	47135	7	6734
2026-09-07T04:59:19.919Z	meta	1	16967	7	2424
2026-09-07T04:59:19.919Z	math	2	64734	7	9248
2026-09-07T04:59:19.919Z	science	2	6120	7	874
2026-09-07T04:59:19.919Z	econ	2	49721	7	7103
2026-09-07T04:59:19.919Z	Construction_and_Engineering	2	4388	7	627
2026-09-07T04:59:19.919Z	Education	2	842	7	120
2026-09-07T04:59:19.919Z	Stacker_Stocks	2	41176	7	5882
2026-09-07T04:59:19.919Z	charts_and_maps	2	5960	7	851
2026-09-07T04:59:19.919Z	AMA	2	0	7	0
2026-09-07T04:59:19.919Z	AskSN	2	150178	7	21454
2026-09-07T04:59:19.919Z	jobs	2	0	7	0
2026-09-07T04:59:19.919Z	ideasfromtheedge	2	4695	7	671
2026-09-07T04:59:19.919Z	dotnet	2	0	7	0
2026-09-07T04:59:19.919Z	Design	2	4069	7	581
2026-09-07T04:59:19.919Z	tutorials	2	621	7	89
2026-09-07T04:59:19.919Z	mostly_harmless	2	0	7	0
2026-09-07T04:59:19.919Z	news	2	16941	7	2420
2026-09-07T04:59:19.919Z	history	2	2290	7	327
2026-09-07T04:59:19.919Z	BooksAndArticles	2	16799	7	2400
2026-09-07T04:59:19.919Z	podcasts	2	2322	7	332
2026-09-07T04:59:19.919Z	lol	2	11002	7	1572
2026-09-07T04:59:19.919Z	Memes	2	2869	7	410
