# refreshed_at	name	nitems	stacked	spent	streak
2026-09-07T11:14:07.273Z	k00b	36	389403	1094380	1198
2026-09-07T11:14:07.273Z	guerratotal	93	289086	26192	60
2026-09-07T11:14:07.273Z	SimpleStacker	77	201069	3190	61
2026-09-07T11:14:07.273Z	Bell_curve	34	193523	3375	0
2026-09-07T11:14:07.273Z	Scoresby	165	124868	136347	462
2026-09-07T11:14:07.273Z	BlokchainB	201	56418	102663	1056
2026-09-07T11:14:07.273Z	Undisciplined	222	54124	42609	1077
2026-09-07T11:14:07.273Z	AtlantisPleb	5	44027	113770	0
2026-09-07T11:14:07.273Z	grayruby	138	42364	22853	1020
2026-09-07T11:14:07.273Z	0xbitcoiner	135	25662	11923	1
2026-09-07T11:14:07.273Z	Coinsreporter	39	19694	8470	20
2026-09-07T11:14:07.273Z	magnolia_mayhem	23	17396	562	2
2026-09-07T11:14:07.273Z	notifications	0	14374	0	0
2026-09-07T11:14:07.273Z	login	0	13703	0	0
2026-09-07T11:14:07.273Z	satwize	5	13338	4744	110
2026-09-07T11:14:07.273Z	gmd	13	12930	2877	6
2026-09-07T11:14:07.273Z	Aardvark	1	12917	18	0
2026-09-07T11:14:07.273Z	Wumbo	34	12490	3613	67
2026-09-07T11:14:07.273Z	justin_shocknet	84	10684	1935	10
2026-09-07T11:14:07.273Z	phat0m	7	10609	43	0
2026-09-07T11:14:07.273Z	ek	85	10357	5484	0
2026-09-07T11:14:07.273Z	realBitcoinDog	21	10074	791	2
2026-09-07T11:14:07.273Z	OneOneSeven	4	9809	3033	12
2026-09-07T11:14:07.273Z	cryotosensei	64	8460	2537	25
2026-09-07T11:14:07.273Z	south_korea_ln	34	7857	2181	0
2026-09-07T11:14:07.273Z	signup	0	7639	0	0
2026-09-07T11:14:07.273Z	wackster	20	7253	4691	1
2026-09-07T11:14:07.273Z	30cbadb3f2	71	6877	6193	0
2026-09-07T11:14:07.273Z	noknees	39	6806	578	1
2026-09-07T11:14:07.273Z	WeAreAllSatoshi	45	6764	5288	206
2026-09-07T11:14:07.273Z	Signal312	22	6641	1717	1
2026-09-07T11:14:07.273Z	nout	1	5533	877	0
2026-09-07T11:14:07.273Z	satoshiplanet	35	5322	2765	24
2026-09-07T11:14:07.273Z	OT	18	5315	1967	4
2026-09-07T11:14:07.273Z	HardMoney	23	5231	2282	1
2026-09-07T11:14:07.273Z	StillStackinAfterAllTheseYears	9	5160	1203	2
2026-09-07T11:14:07.273Z	Kruw	3	5103	17949	53
2026-09-07T11:14:07.273Z	RDClark	9	5040	2128	6
