# refreshed_at	name	stacked	active_subs
2026-09-07T11:14:07.273Z	k00b	389403	bitcoin,meta,tech,nostr,jobs
2026-09-07T11:14:07.273Z	guerratotal	289086	AskSN
2026-09-07T11:14:07.273Z	SimpleStacker	201069	math
2026-09-07T11:14:07.273Z	Bell_curve	193523	bitcoin_Mining
2026-09-07T11:14:07.273Z	Scoresby	124868	
2026-09-07T11:14:07.273Z	BlokchainB	56418	Stacker_Stocks,Construction_and_Engineering,history
2026-09-07T11:14:07.273Z	Undisciplined	54124	econ
2026-09-07T11:14:07.273Z	AtlantisPleb	44027	openagents
2026-09-07T11:14:07.273Z	grayruby	42364	Stacker_Sports
2026-09-07T11:14:07.273Z	0xbitcoiner	25662	
2026-09-07T11:14:07.273Z	Coinsreporter	19694	
2026-09-07T11:14:07.273Z	magnolia_mayhem	17396	
2026-09-07T11:14:07.273Z	notifications	14374	
2026-09-07T11:14:07.273Z	login	13703	
2026-09-07T11:14:07.273Z	satwize	13338	
2026-09-07T11:14:07.273Z	gmd	12930	
2026-09-07T11:14:07.273Z	Aardvark	12917	
2026-09-07T11:14:07.273Z	Wumbo	12490	news
2026-09-07T11:14:07.273Z	justin_shocknet	10684	
2026-09-07T11:14:07.273Z	phat0m	10609	
