# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1562817	bitcoin	1	2542	0	5	5.2	74100	12402	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT,SIGNAL	bcashjr-wallet - Hampus
1562769	the_stacker_muse	3	2506	0	5	7.2	724606	12531	recent@econ|top@econ	HOT,SIGNAL,SELF_POST_OPP	Great Writers Aren’t Obsolete, But More Valuable Than Ever...?(Jordan Schachtel)
1562899	gaming	3	2324	0	5	2.1	241	2930	recent@AI|top@AI	HOT,SIGNAL,SELF_POST_OPP	One year difference playing with vibe-coding a game (4o vs Astra)
1562753	science	2	2249	0	7	7.5	724606	12531	recent@science|top@science|recent@econ	HOT,SIGNAL,SELF_POST_OPP	Why You Won’t Get a Flying Car (Noahpinion, Noah Smith)
1562894	bitcoin_Mining	1	1181	0	1	2.4	30782	25643	recent@bitcoin_Mining|top@bitcoin_Mining	HOT,SIGNAL	Oklahoma Bitcoin Mining Site Condemned After Leaking 3 Million Gallons Of Water
1562846	meta	1	1010	0	1	4.0	1	27294	recent@meta|top@meta	HOT,SIGNAL	SN Saturday Newsletter 9/5/26
1562801	security	1	687	0	0	6.2	297791	7691	recent@security|top@security	SIGNAL	Critical VMware Workstation and Fusion Flaw Lets VM Admins Execute Host Code
1562693	lightning	1	624	0	2	10.6	440729	249	recent@lightning|top@lightning	SIGNAL	Biggest Channel Opened Today (2.5 BTC) + New Node Spotlight (02dfcda928234ce07…)
1562686	Politics_And_Law	3	622	0	4	10.7	88718	47231	recent@econ|top@econ	SIGNAL	The Real Elites vs. The Ruling Elites
1562857	bitcoin	1	609	0	5	3.8	74100	12402	recent@bitcoin|top@bitcoin|recent@bitdevs	SIGNAL	open-ssp: A self-hosted Spark Service Provider written in Rust - benthecarman
1562777	charts_and_maps	2	598	0	1	7.1	328182	3962	recent@charts_and_maps|top@charts_and_maps	SIGNAL	Five countries had more women than men in parliament in 2025
1562877	AI	1	574	0	4	2.8	698001	9541	recent@AI|top@AI	SIGNAL	GPT 6 Astra to simulate Rams Super Bowl
1562681	BooksAndArticles	2	573	0	7	11.3	30782	25643	recent@BooksAndArticles|top@BooksAndArticles	SIGNAL,SELF_POST_OPP	Top books&articles posts of the week
1562911	AskSN	2	536	0	4	1.5	509957	4799	recent@AskSN|top@AskSN	FRESH,SIGNAL	2026-27 UCL Pool: Week 1 submissions open and announcing sponsorhip
1562856	Stacker_Stocks	2	387	0	0	3.8	1054143	1199	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	UBS sees better bond carry in 3-5 year debt after global selloff
